timestamp_unix,timestamp_polar_ns,sample_index,ecg_uv
1778658249.541704,599617211242602400,13724,12
1778658249.549396,599617211250294707,13724,33
1778658249.557089,599617211257987014,13724,52
1778658249.564781,599617211265679321,13724,72
1778658249.572473,599617211273371628,13724,91
1778658249.580165,599617211281063935,13724,115
1778658249.587858,599617211288756242,13724,129
1778658249.595550,599617211296448549,13724,137
1778658249.603242,599617211304140856,13724,144
1778658249.610935,599617211311833163,13724,139
1778658249.618627,599617211319525470,13724,129
1778658249.626319,599617211327217777,13724,108
1778658249.634012,599617211334910084,13724,69
1778658249.641704,599617211342602391,13724,21
1778658249.649396,599617211350294698,13724,-28
1778658249.657089,599617211357987005,13724,-81
1778658249.664781,599617211365679312,13724,-117
1778658249.672473,599617211373371619,13724,-153
1778658249.680166,599617211381063926,13724,-182
1778658249.687858,599617211388756233,13724,-199
1778658249.695550,599617211396448540,13724,-211
1778658249.703242,599617211404140847,13724,-209
1778658249.710935,599617211411833154,13724,-206
1778658249.718627,599617211419525461,13724,-206
1778658249.726319,599617211427217768,13724,-204
1778658249.734012,599617211434910075,13724,-197
1778658249.741704,599617211442602382,13724,-189
1778658249.749396,599617211450294689,13724,-185
1778658249.757088,599617211457986996,13724,-182
1778658249.764781,599617211465679303,13724,-175
1778658249.772473,599617211473371610,13724,-173
1778658249.780165,599617211481063917,13724,-170
1778658249.787858,599617211488756224,13724,-163
1778658249.795550,599617211496448531,13724,-161
1778658249.803242,599617211504140838,13724,-156
1778658249.810935,599617211511833145,13724,-153
1778658249.818627,599617211519525452,13724,-153
1778658249.826319,599617211527217759,13724,-146
1778658249.834012,599617211534910066,13724,-144
1778658249.841704,599617211542602373,13724,-144
1778658249.849396,599617211550294680,13724,-146
1778658249.857089,599617211557986987,13724,-146
1778658249.864781,599617211565679294,13724,-141
1778658249.872473,599617211573371601,13724,-139
1778658249.880165,599617211581063908,13724,-137
1778658249.887858,599617211588756215,13724,-134
1778658249.895550,599617211596448522,13724,-139
1778658249.903242,599617211604140829,13724,-137
1778658249.910935,599617211611833136,13724,-132
1778658249.918627,599617211619525443,13724,-129
1778658249.926319,599617211627217750,13724,-129
1778658249.934012,599617211634910057,13724,-132
1778658249.941704,599617211642602364,13724,-129
1778658249.949396,599617211650294671,13724,-120
1778658249.957088,599617211657986978,13724,-113
1778658249.964781,599617211665679285,13724,-113
1778658249.972473,599617211673371592,13724,-117
1778658249.958570,599617211680822714,13797,-115
1778658249.966263,599617211688515021,13797,-113
1778658249.973955,599617211696207328,13797,-113
1778658249.981647,599617211703899635,13797,-108
1778658249.989339,599617211711591942,13797,-105
1778658249.997032,599617211719284249,13797,-110
1778658250.004724,599617211726976556,13797,-110
1778658250.012416,599617211734668863,13797,-108
1778658250.020109,599617211742361170,13797,-108
1778658250.027801,599617211750053477,13797,-110
1778658250.035493,599617211757745784,13797,-105
1778658250.043186,599617211765438091,13797,-98
1778658250.050878,599617211773130398,13797,-103
1778658250.058570,599617211780822705,13797,-105
1778658250.066262,599617211788515012,13797,-96
1778658250.073955,599617211796207319,13797,-91
1778658250.081647,599617211803899626,13797,-93
1778658250.089339,599617211811591933,13797,-96
1778658250.097032,599617211819284240,13797,-93
1778658250.104724,599617211826976547,13797,-91
1778658250.112416,599617211834668854,13797,-96
1778658250.120109,599617211842361161,13797,-96
1778658250.127801,599617211850053468,13797,-93
1778658250.135493,599617211857745775,13797,-98
1778658250.143186,599617211865438082,13797,-96
1778658250.150878,599617211873130389,13797,-93
1778658250.158570,599617211880822696,13797,-91
1778658250.166263,599617211888515003,13797,-88
1778658250.173955,599617211896207310,13797,-91
1778658250.181647,599617211903899617,13797,-88
1778658250.189339,599617211911591924,13797,-88
1778658250.197032,599617211919284231,13797,-91
1778658250.204724,599617211926976538,13797,-88
1778658250.212416,599617211934668845,13797,-84
1778658250.220109,599617211942361152,13797,-81
1778658250.227801,599617211950053459,13797,-81
1778658250.235493,599617211957745766,13797,-76
1778658250.243186,599617211965438073,13797,-62
1778658250.250878,599617211973130380,13797,-50
1778658250.258570,599617211980822687,13797,-50
1778658250.266263,599617211988514994,13797,-60
1778658250.273955,599617211996207301,13797,-72
1778658250.281647,599617212003899608,13797,-76
1778658250.289340,599617212011591915,13797,-79
1778658250.297032,599617212019284222,13797,-84
1778658250.304724,599617212026976529,13797,-81
1778658250.312416,599617212034668836,13797,-81
1778658250.320109,599617212042361143,13797,-81
1778658250.327801,599617212050053450,13797,-81
1778658250.335493,599617212057745757,13797,-76
1778658250.343186,599617212065438064,13797,-72
1778658250.350878,599617212073130371,13797,-79
1778658250.358570,599617212080822678,13797,-84
1778658250.366262,599617212088514985,13797,-79
1778658250.373955,599617212096207292,13797,-36
1778658250.381647,599617212103899599,13797,129
1778658250.389339,599617212111591906,13797,454
1778658250.397032,599617212119284213,13797,745
1778658250.404724,599617212126976520,13797,548
1778658250.412416,599617212134668827,13797,-117
1778658250.420109,599617212142361134,13797,-490
1778658250.427801,599617212150053441,13797,-327
1778658250.435493,599617212157745748,13797,-149
1778658250.443186,599617212165438055,13797,-137
1778658250.450878,599617212173130362,13797,-122
1778658250.458570,599617212180822669,13797,-93
1778658250.466263,599617212188514976,13797,-103
1778658250.473955,599617212196207283,13797,-103
1778658250.481647,599617212203899590,13797,-79
1778658250.489339,599617212211591897,13797,-67
1778658250.497032,599617212219284204,13797,-64
1778658250.504724,599617212226976511,13797,-62
1778658250.512416,599617212234668818,13797,-60
1778658250.544708,599617212242130118,13870,-50
1778658250.552400,599617212249822425,13870,-45
1778658250.560092,599617212257514732,13870,-43
1778658250.567785,599617212265207039,13870,-33
1778658250.575477,599617212272899346,13870,-26
1778658250.583169,599617212280591653,13870,-24
1778658250.590862,599617212288283960,13870,-16
1778658250.598554,599617212295976267,13870,-4
1778658250.606246,599617212303668574,13870,9
1778658250.613939,599617212311360881,13870,21
1778658250.621631,599617212319053188,13870,31
1778658250.629323,599617212326745495,13870,50
1778658250.637015,599617212334437802,13870,69
1778658250.644708,599617212342130109,13870,84
1778658250.652400,599617212349822416,13870,105
1778658250.660092,599617212357514723,13870,125
