timestamp_unix,timestamp_polar_ns,sample_index,x_mg,y_mg,z_mg,vm_mg
1778658245.999438,599617208582492484,2592,-1017.0,5.0,-119.0,1023.95
1778658246.039438,599617208622492484,2592,-1041.0,-36.0,-126.0,1049.22
1778658246.079437,599617208662492484,2592,-1033.0,-10.0,-126.0,1040.7
1778658246.119437,599617208702492484,2592,-1011.0,10.0,-75.0,1013.83
1778658246.159438,599617208742492484,2592,-1001.0,-10.0,-78.0,1004.08
1778658246.199438,599617208782492484,2592,-1000.0,-42.0,-48.0,1002.03
1778658246.239438,599617208822492484,2592,-1004.0,-10.0,-59.0,1005.78
1778658246.279438,599617208862492484,2592,-1016.0,30.0,-48.0,1017.58
1778658246.325729,599617208882647620,2628,-1032.0,26.0,-39.0,1033.06
1778658246.365729,599617208922647620,2628,-1021.0,33.0,-25.0,1021.84
1778658246.405729,599617208962647620,2628,-977.0,14.0,-13.0,977.19
1778658246.445729,599617209002647620,2628,-986.0,-16.0,-11.0,986.19
1778658246.485729,599617209042647620,2628,-1024.0,18.0,-61.0,1025.97
1778658246.525729,599617209082647620,2628,-1075.0,12.0,-83.0,1078.27
1778658246.565729,599617209122647620,2628,-1029.0,-22.0,-89.0,1033.08
1778658246.605729,599617209162647620,2628,-980.0,1.0,-26.0,980.35
1778658246.645729,599617209202647620,2628,-1003.0,0.0,21.0,1003.22
1778658246.685729,599617209242647620,2628,-1030.0,-27.0,16.0,1030.48
1778658246.725729,599617209282647620,2628,-1049.0,-18.0,-20.0,1049.35
1778658246.765729,599617209322647620,2628,-1016.0,-5.0,-5.0,1016.02
1778658246.805729,599617209362647620,2628,-1012.0,-1.0,-24.0,1012.29
1778658246.845729,599617209402647620,2628,-1012.0,-7.0,-25.0,1012.33
1778658246.885729,599617209442647620,2628,-1015.0,-30.0,-9.0,1015.48
1778658246.925729,599617209482647620,2628,-1028.0,-33.0,-31.0,1029.0
1778658246.965729,599617209522647620,2628,-1020.0,-30.0,-29.0,1020.85
1778658247.005729,599617209562647620,2628,-1012.0,-4.0,-3.0,1012.01
1778658247.045729,599617209602647620,2628,-1017.0,43.0,-21.0,1018.13
1778658247.085729,599617209642647620,2628,-1017.0,18.0,-22.0,1017.4
1778658247.125729,599617209682647620,2628,-1017.0,2.0,-12.0,1017.07
1778658247.165729,599617209722647620,2628,-1011.0,2.0,-4.0,1011.01
1778658247.205729,599617209762647620,2628,-1017.0,-28.0,-50.0,1018.61
1778658247.245729,599617209802647620,2628,-1016.0,-35.0,-50.0,1017.83
1778658247.285729,599617209842647620,2628,-1014.0,-14.0,-37.0,1014.77
1778658247.325729,599617209882647620,2628,-1018.0,-16.0,-16.0,1018.25
1778658247.365729,599617209922647620,2628,-1031.0,-24.0,-21.0,1031.49
1778658247.405729,599617209962647620,2628,-1018.0,-8.0,-19.0,1018.21
1778658247.445729,599617210002647620,2628,-1014.0,-28.0,-38.0,1015.1
1778658247.485729,599617210042647620,2628,-1010.0,-30.0,-36.0,1011.09
1778658247.525729,599617210082647620,2628,-1017.0,-21.0,-29.0,1017.63
1778658247.565729,599617210122647620,2628,-1018.0,-21.0,-27.0,1018.57
1778658247.605729,599617210162647620,2628,-1023.0,-26.0,-24.0,1023.61
1778658247.645729,599617210202647620,2628,-1016.0,-16.0,-37.0,1016.8
1778658247.685729,599617210242647620,2628,-1015.0,-13.0,-39.0,1015.83
1778658247.725729,599617210282647620,2628,-1021.0,-10.0,-45.0,1022.04
1778658247.717263,599617210302863806,2664,-1022.0,-10.0,-42.0,1022.91
1778658247.757264,599617210342863806,2664,-1016.0,-8.0,-33.0,1016.57
1778658247.797264,599617210382863806,2664,-1012.0,-10.0,-28.0,1012.44
1778658247.837264,599617210422863806,2664,-1017.0,-1.0,-21.0,1017.22
1778658247.877264,599617210462863806,2664,-1013.0,4.0,-39.0,1013.76
1778658247.917264,599617210502863806,2664,-1008.0,-1.0,-23.0,1008.26
1778658247.957263,599617210542863806,2664,-1017.0,-1.0,-22.0,1017.24
1778658247.997264,599617210582863806,2664,-1019.0,-18.0,-50.0,1020.38
1778658248.037264,599617210622863806,2664,-1014.0,-36.0,-56.0,1016.18
1778658248.077264,599617210662863806,2664,-1019.0,-22.0,-39.0,1019.98
1778658248.117264,599617210702863806,2664,-1020.0,-2.0,-39.0,1020.75
1778658248.157264,599617210742863806,2664,-1016.0,-3.0,-49.0,1017.19
1778658248.197263,599617210782863806,2664,-1014.0,-4.0,-33.0,1014.54
1778658248.237263,599617210822863806,2664,-1015.0,-3.0,-32.0,1015.51
1778658248.277264,599617210862863806,2664,-1016.0,2.0,-44.0,1016.95
1778658248.317264,599617210902863806,2664,-1019.0,0.0,-43.0,1019.91
